fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,acidity_ratio,sulfur_ratio,alcohol_density,total_acidity,alcohol_squared,ph_alcohol,sulphates_alcohol,quality_binary
7.3,0.51,0.18,2.1,0.07,12.0,28.0,0.99768,3.52,0.73,9.5,14.285714285714285,0.4285561229956073,9.522091251703953,7.81,90.25,33.44,6.935,1
6.7,0.54,0.13,2.0,0.076,15.0,36.0,0.9973,3.61,0.64,9.8,12.384473197781885,0.41665509291408576,9.826531635415623,7.24,96.04000000000002,35.378,6.272,0
9.1,0.5,0.3,1.9,0.065,8.0,17.0,0.99774,3.32,0.71,10.5,18.163672654690618,0.4705605552614552,10.523783751277888,9.6,110.25,34.86,7.455,1
6.7,0.76,0.02,1.8,0.078,6.0,12.0,0.996,3.55,0.63,9.95,8.804204993429698,0.49995833680526625,9.989959839357429,7.46,99.00249999999998,35.3225,6.2684999999999995,0
7.2,0.67,0.0,2.2,0.068,10.0,24.0,0.9956,3.42,0.72,11.1,10.730253353204173,0.416649306278905,11.149055845721172,7.87,123.21,37.961999999999996,7.991999999999999,1
8.6,0.53,0.22,2.0,0.1,7.0,27.0,0.9967,3.2,0.56,10.2,16.195856873822972,0.25924965742009554,10.233771445771044,9.129999999999999,104.03999999999999,32.64,5.712,1
7.5,0.5,0.36,6.1,0.071,17.0,102.0,0.9978,3.35,0.8,10.5,14.970059880239521,0.1666650326957579,10.52315093205051,8.0,110.25,35.175000000000004,8.4,0
8.2,0.43,0.29,1.6,0.081,27.0,45.0,0.99603,3.25,0.54,10.3,19.025522041763338,0.5999866669629564,10.341053984317742,8.629999999999999,106.09000000000002,33.475,5.562000000000001,0
8.9,0.38,0.4,2.2,0.068,12.0,28.0,0.99486,3.27,0.75,12.6,23.35958005249344,0.4285561229956073,12.665098606839154,9.280000000000001,158.76,41.202,9.45,1
8.9,0.43,0.45,1.9,0.052,6.0,16.0,0.9948,3.35,0.7,12.5,20.649651972157773,0.37497656396475215,12.565339766787293,9.33,156.25,41.875,8.75,1
