feature,importance
alcohol_density,0.0994930730129573
alcohol,0.08891344623737463
alcohol_squared,0.08826255197811926
sulphates_alcohol,0.08641794534507648
sulphates,0.07041226633717648
ph_alcohol,0.061062609444646795
volatile acidity,0.06033503371331502
total sulfur dioxide,0.05816543040646953
acidity_ratio,0.05314993343030446
sulfur_ratio,0.05052320274236744
citric acid,0.038826826113021476
density,0.03829034908806821
free sulfur dioxide,0.036514978134153026
fixed acidity,0.036457908842657906
total_acidity,0.03493091264294116
pH,0.03427489615326066
chlorides,0.032752938840605775
residual sugar,0.031215697537484443
