feature,importance
sulphates_alcohol,0.12558321950482645
alcohol_density,0.09266349174631534
alcohol,0.06668834439483706
acidity_ratio,0.061562508181057136
volatile acidity,0.06154349349859814
total sulfur dioxide,0.0606744322530476
alcohol_squared,0.060277985656677364
sulphates,0.05957877501213365
ph_alcohol,0.05673918832566693
sulfur_ratio,0.05242806070525346
chlorides,0.0455779250614087
density,0.04148805017973979
total_acidity,0.040165460581454863
pH,0.03798804661255199
free sulfur dioxide,0.03656625128814413
citric acid,0.03493481895695939
residual sugar,0.03345839212697054
fixed acidity,0.03208155591435742
